hochdeutsch,bischemerisch
den Acker ordnen,raume
den Acker zum dritten Mal umhacken,draiere
denen,deene
denen,denne
dengeln,dengle
denke,deng
denke,denk
denken,denge
denken,denke
denkt,dengt
denkt er,r
denn,dan
denn,denn
denn,en
denn,n
denn es,dann's
denn es,s
denn es weiß heute kein,dann's waaß heut ka' Mensch
denn es weiß heute kein,Mensch
Deppen,Däbben
der,d'r
der,deer
der,der
der,dr
der,dä
der,där
der,därr
der,däär
der,Eschwinge
der,r
der,ä
der alle für,Sejfeblase
der auf dem Rücken getragen wird,Kötze
der auf den Äckern umherläuft,Schollehubser
der auf die Eisenbahnschiene geriet,Schienensäbb
der dicke Fritz,dr dick Fritz
der die Zähne bleckt,Dsebleger
der ein Brett vorm Kopf hat,Hierebridd
der hochgeschossen wie eine Latte oder,Lättle
der knappt,Knäbber
der kräftig beim Gehen stampft,Stoampfer
der kräftig essen und trinken kann,Karregelde
der lang und dünn wie ein Strohhalm ist,Ströhle
der mit dem Satz,Nüchderle
der Mühe wert,derwört
der ohne Zähne kaut,mapflt
der Unruhe schafft,Wühler
der wie eine Blutwurst aussieht,Knäudl
der zweite,dswar
der über die Ackerschollen läuft,Schollehubser
derb,därb
derber,därwer
dere,dääre
derweilen,derrweil
derweilen,derwaal
derzeit,derzaad
des,des
dessen,Holunder
dessen Früchte dem Birett des kath,Pfafehütle
dessen Stimme wie durch ein Rohr kommend,Röhre
desto,desde
deswegen,des
deswegen,destweche
deswegen,destwääch
deswegen,t
deswegen,wääche
deutlich,deudli
deutlich,deütlich
deutlich,däudli
deutsch,deutsch
deutsch,däutsch
deutsche,deutschi
deutsche,däutschi
deutschen,deutsche
Deutscher,r
Deutschland,Däutschlont
Dezember,Dezember
di,ob
di,richt
di,wi
di,ümm
Dialekt,Dhalekt
Dialekt,Talegt
Dialekt,Talekt
dich,di
dich,die
dich,diech
dich,diich
dich,disch
dick,dick
dick,dicke
dick,digg
dick satt,diggset
dicke,digge
dicke,diggi
Dicke,Diging
dicke Haut,Schwarde
dicker,dig
dicker,er
dicker,g
dickliches Mädchen,Bummel
Dickmilch,Glumbe
Dickrübe,Rörsche
dicksten,diggste
die,'s
die,di
die,die
die,ess
die Alten,Alde
die denkt er heute,r häud
die die Brautleute begleiten,Schmoolmadli
die dritte,drit
die dritte,dritt
die dritte,t
die ersten Spargel wären,n
die es,s
die es können,s könne
die gibst dem Schinder,m Schinner
die Haare zerzausen,dswöwle
die hat einen Fetzen an,di hot en Fetze oa
die hoch emporschießen,Schmasit
die Kirche,d'Käärch
die lange schläft,Schloofkhapritsche
die mit,die
die mit,Relativsätze
die mit,wuu mid mier in die Schuul gonge sänn
die Sichel hämmern,dengle
die spielen sonst eine Note zu tief,die spiele sunst ann Schuh ze dief
die um Mitternacht Gründonnerstags im Wald,Brauchrute
Dieb,Dip
Diebe,Diewe
Diebe,Langfingerlis
dienen,dine
Dienstadt,Dischd
Dienstag,Dienstig
Dienstag,Dindsdoach
Dienstädter,Dieschdemer
Dienstädter,Dischdemer
diese,sell
diese,selli
diesen,denne
diesen,sellem
dieser,däre
dieser,dääre
dieses mal,dässmool
diesesmal,dessmool
diesseits,hesdegest
digg,digge
Dinkel,Dingl
dir,dier
dir,dir
dir,dr
dir es,drs
Direktor,Deregder
Direktor,Direkter
Direktor,Teregder
Diskurs,Dischgors
Diskurs führen,dischgeriere
Diskurs führen,dischkeriere
Diskussion,Dischgors
dispudiert,dischbediert
disputiert,dischbediert
Distel,Dis
Distel,Disl
Distel,Dissel
Distel,el
Distel,s
Distelfink,Disselfink
Distelfinken,Disselfinke
Distelhausen,Desselhause
Distelhäuser,Disselhäusemer
Dittigheim,Didi
Dittigheim,Didiche
Dittigheim,Dittiche
Dittigheimer,d
Dittigheimer,Did
Dittigheimer,Diddemer
Dittigheimer,emer
Dittwar,b
Dittwar,Dib
Dittwar,Dibber
Dittwar,er
Dittwarer,Dibermer
doar,herre
doch,doch
doch,douch
Docht in der Lampe,Dsoche
Dohle,Dale
Dohlen,Douhle
Dohlengeschrei,Douhlegschraa
Dohlenturm,Douhleduure
Doktor,Dokder
Dolde,Dole
Dole,Doul
Dominikus,Domini
Donner,Donner
Donner,Dunner
Donner Wetter,Dunnerwedder
Donner Wetter,noo amool
Donnerblitz,Dunnerblitz
Donnerkeil,Dunnerkeil
donnern,dun
donnern,ere
donnern,n
Donnerstag,Donnertig
donnert,dunnert
donnert es,s
Donnerwetter,Dunnerweddel
Donnerwetter,Dunnerwedder
doo,wi
doppelt,dobbeld
Dore,dopfe
Dorf,Doref
Dorf,Witscht
Dorn,Door
Dorn,Doore
Dorn Verniedlungsform,Doerle
Dorne,Door
dort,dord
dort,selt
dort hin,dorthie
dort oben,drouwe
dorthin,n
dorthin,noo
dorthin,noon
dorthin,oni
dorthin,onni
dorthinaus,dortnaus
Dose,Duuse
Dost,Dosde
Dost Würzbüschel,Dosde
dr,aus
dr,faongd
dr,h
dr,i
dr,in
dr,mit
dr,onn
dr,reib
dr,spoar
dr,uff
dr,wu
Drachen,Drache
Drachensteigenlassen,Drachesteichelosse
Draht,Droht
Draht,Drood
Draht,Drot
dran,dro
dran,droo
dran,droon
dran,n
drangekriegt,drookriecht
drauf,druf
drauf,druff
drauf,f
Draufgänger,Deihenker
draußen,aus
draußen,daus
draußen,draus
draußen,drausse
draußen,drauß
draußen,drauß'
draußen,drauße
draußen,haus
draußen,s
draußen beim,drauss'm
draußen beim Forst,drauss'm Forscht
draußen dem,m
Dreck,Dreek
Dreck,Drääck
Dreck,Drääg
Dreck,Gebützich
Dreck,Schmaaß
Dreck,Trek
dreckig,dreckisch
dreckig,dregit
Dreckmücke,Schmasmugge
drehen,dreehe
drehen,dreewe
drehen,drewe
drehen,treebe
drehen,wine
Dreher,Drewer
dreht,dreebd
drei,dray
drei,drei
dreihundert,dreihunnerd
dreimal,dreimool
drein,drej
dreißig,dreissich
dreschen,dresche
Dreschen,Dresche
Dreschmaschine,Dräschmaschiin
drin,drinn
Drink,Trenkle
Drinkeimer,Trenkamr
drinnen,drin
drinnen,drinn
drinnen,n
drinnen wäre die ärgste Wilden,drin wär di ärchsde Wille
Drittel,Dridl
Dritter,driderer
droben,douwe
droben,drouwe
drohen,drawe
droht,draabt
droht,drabt
drolliger Kerl,Dsoutl
drolliger Kerl,Dsoydl
Drossel,Drosl
drs,wal
drucken,drüge
Drum,Drumm
drunn,unne
drunten,drune
drunten,drunne
drängen,drenge
drängt,drengt
drängt,rumoord
drüben,d
drüben,drüwwe
drüben,r
drüben,üwwe
drüben am,drüwwemm
drüber,drüwwer
drücken,drücke
drücken,drüge
drücken sie sich,-sich
du,du
du,duu
du,treiwe
du dust,s
du gibst mir das,du geist mr des
du hast,du host
du heißt,haße
du heißt,haßt
du heute,heint
du weißt,wesse
Duft,Duuft
Dukaten,Dugoade
dumm,dumm
dumme,dummi
dummer,dumer
dummer Mensch,Fiich
dummes,s
dummes Frauenzimmer,Maigoans
dummes Kind,Debele
Dummheit,Fisemadenden
Dummkopf,Dööskoupf
dumpf,dumpfit
dunkel,dungl
dunkel,dunkel
Dunst,Duunst
durch,durch
durcheinander,durchenanner
Durcheinander,Durchenanner
Durchgang,Doul
durchschlagen,durichblaie
Durst,Dorschd
Durst,Dorscht
Durst,Duerscht
Durst,Duurschd
durstig,dorschdi
duster,duschder
Dächer,Decher
dächte,docht
Dämmerlicht,Demmerliichd
dämmern,demere
dämmert,demert
Därme,Därm
Dörnlein,Döerle
Dörnlein,Dörle
Dörrfleisch,Dörrflaasch
döst,dööst
Düfte,Düft
dümmer,dymer
dümmer,dümer
Dümmere,Dümmeri
dünn,dsaiselit
dünn,dyn
dünn,dün
dünn,dünn
dünn,ra
dünne Fläche,Dyning
dünne Fläche,Düning
dünne Kuchen,Bleds
dünner,dyner
dünner,düner
dünner Kuchen,Bloatz
dünner Kuchen,Blods
dünnhaarig,fidshorit
dürfen,defe
dürfen,däffe
dürfen,dürfe
dürr,dör
dürre,dörre
e,herr
e,sou
eben,awl
eben,awwell
eben,ejwi
Ebene,Eiwing
ebenso gut,ewestmer
ebenso leicht,ewestmer
echele,echel
Echiidi,echle
Ecke,Eck
Ecke,Ege
Ecke,Egge
eckig,egit
edel,eidl
Edelberg,Eddelberch
Edelberg,Edelberich
Edelbergwein,Eddelberchwej
Eduard,Edewart
eggen,eiche
Ehe,Eh
Ehemann,Moo
Ehemann,n
Ehre,Ear
Ehre,Eer
Ehre,Ehr
ehrlich,ehrlich
Ei,Aa
Ei,Aale
Eibisch,Eiwisch
Eibisch Würzbüschel,Eiwisch
Eichbaum,Achbaam
Eichboam,Achboam
Eiche,Aache
Eiche,Achboam
Eiche,Ache
Eichel,Achl
Eichhörnchen,Achörnli
Eichhörnchen,Aichhörnli
Eidechsen,Aidegse
Eier,Aaer
Eiersheim,Aiersche
Eiersheim,Eierschi
Eiersheimer,Aierschemer
Eifersucht,Eifersuucht
eifrig,eiffri
eifrig,eifri
eigen,aiche
eigene,eichne
eigenen,eichne
eigener,eichner
eigenes,eichens
eigensinnig,obschdenot
eigentlich,eigentlich
Eile,Ail
Eile,Ayl
Eile,Eil
eile,eil
eilen,aile
eilig,hordle
eilig,hordli
Eimer,Amer
Eimer,Amr
Eimer,Oamer
ein,a
ein,aan
ein,an
ein,ann
ein,e
ein,ej
ein,en
ein,enn
ein,n
ein,nej
ein,oa
ein,oan
ein,ä
ein,änn
ein anderer Mann,ann anner Moa
ein anderes Mal,enannersmool
ein bißchen,udedele
ein dicker Mann,oan digge Moo
ein Dreck,adrääg
ein falscher Mann,änn falsche Moo
ein jedem tun sie das,s Fell vergärwe
ein Kind übertrieben pflegen,badsle
ein Kind übertrieben pflegen,patsle
ein mit Beziehungen,Gmouschel
ein Paar Verniedlichungsform,Bäärle
ein Stückchen,Fitzelchen
"ein, eine aa auch Aa Ei Aaer Eier Aale Verniedlichungsform von Aa, Ei Aach - Auge Aache Augen Aache - Eiche Aachgugele Koseform fr Auge Aachgugeli Koseform fr Augen Aachli - uglein aafoch einfach aam ihm aams einem das hot vor Angst aams Hrz geklopfd hat vor Angst einem das Herz geklopft aamool aomool, aanmool, emool - einmal aane eine aaner - einer aans eins aans eines, einer aanzcher einziger narr ann aanzcher Moo nur ein einziger Mann aanzich einzig aanzich un ela einzig und allein aanzichs - einziges aawimle - abwimmeln Abbedit Appetit abbeditli - appetitlich Abram Abraham Abrams Abrahams Abril - April Ach - Auge Achboam Eiche, Eichboam Ache Eiche Achl - Eichel acheln - essen, verspern, speisen",A a
einander,ananner
einander,enanner
einander,enanr
Einarmiger,Ahankele
eine,'s
eine,a
eine,aane
eine,e
eine,oaner
eine,oani
eine,ä
eine Menge,Last
eine Menge Leute,Wiwl
eine schöne Frau,e schöni Fra
eine Weile habe ich ihn,-in rejde losse
einem,a
einem,aam
einem,am
einem,aom
einem,em
einem,emm
einem,oam
einem das,s
einem jedem tun,a jedem dunn
einen,aan'
einen,ann
einen,oaner
einen peinigen,dswüwle
einen peinigen,zwüwle
einer,aaner
einer,aoner
einer,Dsebleger
Einer,Hierebridd
einer,mapflt
einer,oan
einer,oaner
einer,re
einer,s
einer,Schollehubser
einer der es stets notwendig hat,Notwenile
einer der immer mit einem Stock umhergeht,Stöckle
einer der immer Pfeife raucht,Klouwe
einer der in der Dörgei wohnt,Dörg
einer der klein,Knubberle
einer der klein,Pförzle
einer der knappt,Knäbber
einer der lang und schlank wie ein Strohhalm,Ströhle
einer der lang wie eine Bohnenstange ist,Lättle
einer der permanent,Hähää
einer mit einer großen Nase,Zinkemichel
eines,aans
eines,aons
eines,s
einesteils,einesteils
einfach,aafoch
einfach,aanfoch
einfach,foch
einfach,n
einfach,oa
einfangen,kriiche
Einfaßlitze,Bääselitze
Einfälle,Ei
Einfälle,fäll
Einfälle,n
einfältig,afeldi
Eingebranntes,Ejgebrennts
Eingebrocktes,Ejgebrockts
eingedrückt,gedatscht
eingefallen,gedatscht
eingefallen,zoammegedatscht
eingekleidet,aigeglat
eingekuchter Mus,Ladwäriche
eingelaufen,zoammegedatscht
Eingemachtes,Ejgmoachts
eingesperrt,ejgspärrt
Eingeweide,Ingwat
einig,anich
einiges,mannichs
Einkauf,Ej
Einkauf,kaaf
Einkauf,n
einladen,loade
einmachen,aimoache
einmal,aa
einmal,aamool
einmal,amool
einmal,aomool
einmal,em
einmal,emmool
einmal,emool
einmal,m
einmal,mool
einmal,n
einmal,oa
einmal,oamool
einmal,ool
einmal,ämool
einräuchern,airaache
eins,aans
eins,anns
eins,aons
einsalben,aisalwe
Einschlag,Aischloach
einschlagen,aischloache
Einschnitt,Schniit
einseifen,aisafe
einseifen,aosaafe
einsperren,ejspärre
einst,oanst
einstimmen,ejstimme
eintauchen,dunke
Eintracht,Aidrachd
einverstanden,ejverstanne
Einwohner Dienstadt,Dischdemer
Einwohner Lauda,Laudemer
Einwohner von Hochhausen,Hochhäuser
Einwohner von Lauda,Laudemer
einzel,andsl
einzeln,aanzli
Einzelner,Andslr
einzig,aanzich
einzig,andsich
einzig und allein,aanzich un ela
einziger,aanzcher
einziges,aanzichs
einziges,oanzichs
Eis,Ais
Eisbein,Gnöchle
Eisblumen,glitzeride Blumme
Eisen,Eise
eiserne,eiserni
eld,Fääld
elende,atermelit
Elender,Vrecker
elender Kerl,Droupf
elendige,vreckdi
Elendige,Vrecker
elendiger,elendicher
Elendiger,Vreckling
elendiger Kerl,Troupf
elf,elf
elf,elfi
Elfenbein,Elfeboa
elftens,elfdens
Elisabeth,Lies
Elisabeth,Liesle
Elisabeth,Lisbet
Elisabeth,Lisebet
Elle,Eile
Eltern,Eldere
Eltern,Eldern
Elternhaus,Eldernhaus
eme,mid
Emil,Email
Emil,Emiil
emm,in
emm,mit
emm,s
emm,vor
emm,voremm
emm,wu
emm,wärr
emm,ümm
emm g,wär
emm g,wäre ihm
emsig,emsi
emsig hantieren,wörchle
Ende,En
Ende,End
Ende,Enn
Ende der,Schmaaß
Endivien,Ändiwi
endli,do
endlich,endli
eng,eng
enge,engi
Engel,Engeli
Engelchen,Engeli
Engerling,Engerli
Engländer,Englender
enn,führ
enn,geit
enn,s
enn,uff
enn,vonn
enn Buu,-fort uff
ennanner,in
entbehren,grode
entbehren,krote
entdecken,entdecke
Ente,Ende
Ente,Ent
Enten,Ende
Entenbraten,Endebroote
Entrich,Andrax
entschlossen,enschlosse
entzwei,dswa
entzwei,ndswaa
entästen,ausschnadse
er,eer
er,er
er,hott
er,unn
er,wesse
er,wi
er,äär
er hat eine Menge Geld,er hot a lost Geld
er ist ein,ärr iss änn Schluri
er tritt hinein,er dabbd nej
Erbe,Aerwe
Erbe,Ärwe
erben,aerwe
erben,ärwe
erbetteln,oalugse
erblickt,derblickt
Erbse,e
Erbse,Erps
Erbse,Ärbs
Erbsen,Arwes
Erbsen,Erbse
erbärmliches,erbärmlis
Erdbeere,Erpltr
Erdbeere,Erwltr
Erdbeere,Ärblder
Erdbeere,Ärwlder
Erdbeerenart,Broslder
Erdbeerenart,Brosselder
Erde,-Boude
Erde,Errde
Erde,Ärde
Erde,Ärrde
erdrücken,verdrücke
erdseilt,hott
erfragen,derfrooche
erfragen,drfrooche
erfreut,dergötzt
erfroren,derfröörd
erfroren,derfröört
erfährt,derfehrt
Ergebnis,Ergebnis
ergreifen,fase
ergötzt,dergötzt
erhellt,derhelld
Erinnerung,Erinnring
erlauben,derlawe
erlauben,erlaabe
erleben,erläwe
erleichtert,erleichderd
erleiden,leide
erloschen,derlosche
erläutern,expliziire
erlösen,derlöse
erlöst,derlö
erlöst,st
erlöst,ö
ernste,ernsti
Ernstes,Ernst's
Ernte,Ere
ernähren,dernere
erraten,Schinkeklopfe
errettet,derett
errungen,errunge
ers,rs
ersaufen,versoffe
erschauen,derluure
erscheint,derscheind
erscheint,derscheint
erschienen,erschiene
erschrecken,erschrecke
Erschreckensruf,Jeses
erschrocken,erschrogge
erschrocken,verschrocke
ersparen,derspaare
erst,ärscht
erste,ärschde
erste,ärschdi
ersten,ärste
erstens,erschtens
erstens,ärschdens
ersticken,fersdige
erstunken,verstunke
ertrunken,versoffe
erwarten,derwarde
erwarten,erwarde
erwirbt,derwärbt
erzählen,derdseile
erzählen,ferdseile
erzählen,verzeihle
erzählen,verzejhle
erzählen,verzähle
erzählt,erdseilt
erzählt,gebabbeld
erzählt,verzejhlt
erzählt,verzejlt
Erzählung,G'schichd
Erzählung,Verzejhle
es,'s
es,es
es,ess
es,hätt
es,iss
es bleibt,'s blei't
es darf nichts überbleiben,ess däfft nix üwwerblei
es falsche Gebiß,ess falsch Gebiß
es heißt,du host
es heißt also,s haßt als
es Hirn soll ihnen verdörren,ess Hiere söll ne verdörrn
es ist,s'iss
es ist das,-ess
es ist fast elf Uhr,s is antem elfi
es ist niemand daheim,s'iss niemand dehoam
es miteinander treiben,vöcheln
es schlägt vier Uhr,s schleicht firi
es sind,'s sann
es sind,es
es trifft mich ein Schlag,n Schloach
Esel,Eisl
Esel,Ejsel
Espe,Asbe
ess,dass
ess,dass's
ess,däär
ess,geht
ess,köcht
ess,künnt
ess,sist
ess,unn
ess,woar
ess Fenster drouwen,geht
ess Fenster drouwen,oben auf
ess Fääld g,- siehst das
ess Fääld g,sou sist
ess libste sej,der das
ess libste sej,wärrd däär
essen,acheln
essen,achle
Essen,Esse
essen,ässe
Essen,Ässe
Essig,Essich
etwas,öbbes
etwas,öbs
etwas,öps
etwas obendrauf,Dibbele
etwas obendrauf,Dipfele
Eubigheim,Aiwi
euch,äuch
eure,euri
eurer,ayer
eurer,äurer
Euro,Euro
Europa,Europa
Euter,Euder
Eva,Ef
ewig,ewich
Ewigkeit,Ewichkeit
Exerzieren,Exerziere
explizieren,expliziire
extra,ästra
Eßgeschirr,Eßgeschärr
eßt,ässd
eßt,ässt
Fabrik,Fawrik
Fach,Foch
Fackel,Fagl
Faden,Fade
Faden,Foade
Fadenbündel von einem Gewebe,Drasem
Fadenrolle,Foaderolle
fahler,foahler
Fahne,Fohne
Fahne,Foohn
fahren,faahre
fahren,fo
fahren,foahre
fahren,o
fahren,re
Fahrende,Zicheiner
fahrendes Volk,Zicheiner
Fahrrad,Fahrrad
Fahrt,Foahrt
Fahrt,Foart
Fahrt,Foert
Fall,Fal
Fall,Foal
Falle,Fale
fallen,falle
falsch,falsch
falsche,falsch
falsche,falschi
falscher,falsche
Familie,Bagaschi
Familie,Familich
fange,faonge
fange vorsichtig,-oo
fangen,fange
fangen,krieche
Farbe,Farb
Farbe,Farwe
Farbe,Foarb
Farbensinn,Farwesinn
farbig,farbich
Faschingsball der Bischemer Vogelfreunde,Vöchlerbaol
Faschingsgestalt,Henger
Faschingsverkleidung,Bouze
Fasel,Fosl
Faselochse,Fosl
Faser,Fosern
Fass,Foas
Fass,Fos
Fassnachtskrapfen,Fassnachtskrapfe
fast,fascht
Fastnacht,Fosenacht
faule,fauli
faulen,faule
Faulheit,Faulet
Faßnacht,Foasenacht
Februar,Febrewoar
Februar,Februar
Feder,Federn
Federhalter,Fädderhalder
Federweißer,Fädderweisse
Federweißer,Fäädderweisse
fegen,feeche
Feger,Fäächer
fegt,fäächt
Fehlen,Fele
fehlen,fele
fehlen,fähle
Fehler,Fehler
Fehler,Fähler
fehlt,felt
fehlt,fä
fehlt,hlt
fehlt,ä
Feier,Faier
Feierabend,Fayeroowend
Feierabend,Feieroowend
feierliche Sonntagskleidung und,Sunndochsstoat
feil,faal
Feile,Faile
fein,faa
fein,fej
fein,ra
fein regnen,niwele
fein regnen,niwle
Feind,Fejnd
feindliche,feindlich
feindliche,fejndlich
feindlichen,feindlich'
feine,fejne
Feinheiten,Fejheide
Feld,Feelt
Feld,Feld
Feld,Fääld
Feldahorn,Maslder
Feldahorn,Masltr
Felder,Fäälder
Feldhüter,Fääldschütz
Feldsalat,Schoffmäulisseloat
Feldschütz,Fääldschütz
Fels,Felds
feminin,weibli
Fenster,Fenschder
Fenster,Fensder
Fensterlein,Gwent
Fensterscheiben,Fensterscheiwe
Fensterscheiben,Scheiwe
Ferien,Ferie
Ferkel,Säuli
Fernseher,Fernseh
Fersen,Fearsche
fertig,fertig
fertig,färdi
fest,hääb
fest,käp
feste,festi
festen,fetze
fester Rotz,Böbbel
fett,fett
Fett,Fädd
fett,fädd
fett,fätt
fette,fäddi
fetten,fetze
fetten,Fätze
Fetzen,Fedse
Fetzen,Fetze
Fetzen,Fätze
feucht,faycht
feucht,feucht
feucht,fäuchd
feuchte,fäuchde
Feuer,Fayer
Feuer,Feier
Feuer,Fäuer
feuerrot,fayerroad
Feuerstein,Feuerstoa
Feuerstein,n
Feuerwehrspritze,Schbredze
Feuerwehrspritze,Schpretze
feurich,fäurid
feuriche,fäurid
feurig,fäuri
Fichte,Fichde
Fieber,Fiwer
Fiedel,Fidl
Fiedelbogen,Fidlbouche
Figuren aus Kastanien zusammenstecken,Klöublismoache
Filzpantoffel,Filzbandoffel
finden,finde
finden,fine
finden,finne
findest,findst
Finger,Finger
Finke,Finkle
Finsteren,Finstre
Fisch,Fiesch
Fischerboot,Schelch
Fischerboot,Schelich
Fischreiher,Raawer
Fistelstimme,Fislschdim
Flachs,Flogs
Flammen,e
Flammen,Flam
Flammen,Flamme
Flammen,m
Flasche,Buddel
Flasche,Flasch
flatscht,pfloatscht
flattern,fladdre
flecht,pflächt
flechten,pflechde
Fleck,Flek
Flecken,Flegge
Flecken,Flägge
Fleckenwasser,Fläggewasser
Flecklein Verniedlichungsform von Fleck,Flegle
Flegel,Fleichel
Fleisch,a
Fleisch,Fla
Fleisch,Flaasch
Fleisch,sch
Fleischküchlein,Flaaschküchli
fleissig,fleissi'
fleissig,weneli
Fleiß,Flaaß
Fleiß,Flais
fleißig,fleissi
fleißig sit,Knubberle
flennen,e
flennen,flen
flennen,n
flicken,flicke
flicken,flige
Fliege,e
fliege,fliech
Fliege,g
Fliege,Mug
Fliegen,Flieche
fliegen,flieche
fliegen,fliege
Flieger,Fliecher
fliegt,fliecht
fließen,fließe
flimmern bei Hitze,dswitschere
flimmert,flimmerd
flimmert es,flimmerd's
flink,flienk
Flinte,Flinde
Floh,Flok
flott,flodd
Flotte,Flodde
flotter,flodder
Fluch,Fluuch
fluchen,che
fluchen,flu
Fluchen,Fluuche
fluchen,u
flucht,fluuchd
Flucht,pleto
Fluchwort,Daihenger
Fluchwort,Grudzefix
Flug,Fluuch
Flugfeuer,Pfluchfayer
Flughafer,Pfluchhawer
Flugmaschine,Fluuchmaschin
Flugzeug,Flugzeich
Flugzeug,Fluuchmaschin
Flur,Fluor
Flurname,Bodemle
Flurname,Bödemle
Flurname,Daubst
Flurname,Deufelschlucht
Flurname,Fadlisgroawe
Flurname,Frommeleide
Flurname,Gruundfääld
Flurname,Gwinerdle
Flurname,Haadekessel
Flurname,Haadekessele
Flurname,Hamberich
Flurname,Kaaser
Flurname,Kärchelberch
Flurname,Lenzeleide
Flurname,Leundle
Flurname,Loschenhouf
Flurname,Mendele
Flurname,Mitberch
Flurname,Schbraat
Flurname,Schleicher
Flurname,Schlossersberch
Flurname,Schüüt
Flurname,Wolfle
Flurname,Wölebärich
Flurname Wolftal,Wolfle
Flurname Wolftal,Wölfle
Flurnamen,Frommeleide
Fluss,Fluss
Flöhe,Flö
Flöhe,Flöh
Flöte,Flöde
flüchtige Unterhaltung,Gebatsch
Flügel,Flüchel
Flügel,Flügel
flüsterts,wischberts
Foass,Foasenachtsbouze
folgen,nochg'sprunge
foppen,fobe
Forst,Forscht
fort,pleite
fortwährend,alsefort
Forz,Fuerds
Forz,Fürds
Forz,Fürts
fragaria viridis,Broslder
fragaria viridis,Brosselder
Frage,Frooch
fragen,frooge
fragen,frööche
Fragen,Frööche
Fragen an,-oo
Fragen an,n
fragt,frööchd
fragt einem nach jedem,frööchd noch jedem Drääg oam aus
Franken,Tauber
Franz,Froanz
Franz,Schollehubser
Franzel,Froanzel
Franziska,Frends
Franzose,Franzous
Franzosen,Franzous
Franzosen,Franzous'
französisch,frandsosisch
Frau,a
Frau,Fraa
Frau,Fraale
Frau,Frau
Frau,Schloofkhapritsche
Frau Holle,Hulefraale
Frau Schmitt,Schmittin
Frauchen,Fraale
Frauenheld,Stends
frech,badsich
frecher,frächer
frei,frei
freilich,fraili
freilich,frailist
freilich,freili
Freitag,Freitig
fremd,frem
fremd,fremd
Fremde,Fremi
fressen,frese
fressen,fresse
fressen,groase
Freude,at
Freude,Fra
Freude,Fraad
Freude,Freud
freuen,fraawe
freuen,freue
Freund,Freind
Freund,Fräund
Freunde,Freund
freundlich,freundli
freundlich,laydli
freut,fraabt
Frevel,Frefl
Frieden,Friede
friedlich,friedli
Friedrichshöhe,Friedrichshöh
frieren,friere
frisch,friisch
frisch,frisch
frisch geschlachtetes Fleisch,Kreddelflaasch
frische,frischi
frohe,frohi
frohes,frohs
fromme,frommi
Fromme,Frommi
Fronenbrunnen,Fronebrunne
Frosch,Frousch
Froschabstecher,Fro
Froschabstecher,schgiegser
Froschabstecher,u
Froschstecher,Froschgiegser
Frucht,Frucht
Frucht,Fruucht
Frucht Ahornbaum,Kaierli
Frucht Hasselnuss,Wörschdli
frägst,frööchst
frägt,fröchst
fröhlich,fröhlich
Frösche,Frösch
früh,frie
früh,frieh
früh,fry
früh,früü
Frühe,Fruh
Frühe,Früh
früher,ender
früher,früer
früherer,frührer
früherer,früürer
Frühjahr,Frühjohr
Frühjahr,Frühjoohr
Frühjahrspracht,Frühjohrspracht
Frühjahrssonne,Frühjohrssunn
Frühlicht,Frühliechd
Frühling,Frühling
Frühlingstag,Frühlingsdoach
Frühstück,Frühstück
Fuchs,Fuchs
Fuchs,Fugs
Fuchs,Fuks
fuchsfeuerrot,fuksfayerroad
Fuchsschwanz,Fukseschwenz
Fuhre,Fuor
Fuhre,Fuur
Fuhrmannsruf,Hoa
Fuhrmannsruf,hoarwist
Fuhrmannsruf,hüjhot
Fuhrmannsruf,hüjo
Fuhrmannsruf,n
Fuhrmannsruf,raus
Fuhrmannsruf,rej
Fuhrmannsruf,wist
Fuhrmannsruf,wistehoa
Furche,Forcht
Furche,Fouricht
Furchen ziehen,fourichtle
Furcht,Forcht
Furz,Fuurz
Furzknoten,Forzknoude
Furzknoten Schimpfwort,Forzknoude
Fussende am Bett,Fuse
Futter,d
Futter,er
Futter,Fud
Futteral,Fudderoal
Fuß,Fuaß
Fußball,Fußball
Fußgängertunnel unter Bahnlinie am Lagerhaus,Dol
fährt,fehrt
fährt er,r
Fälle,Fel
Fälle,Fäll
fällst,fellst
fällt,felld
fällt,fellt
fällt ihm,m
fängst,fengst
fängt,fengd
fängt,fengt
fängt jetzt gerade,-oo
fängt jetzt gerade,a
färben,färwe
Fässer,Fesser
Fäule,Faylin
Förster,Förschter
Förster,Woaldschütz
Füchse,Fygs
fügen,füüche
fühlen,fühle
führe,fyer
führe,führ
führen,führe
führt ab,laxierd
füllen,fülle
fünf,fünf
fünf,fünfi
Fünf Uhr,fünfi
fünfte,fuft
fünfte,fümfde
fünfte Jahr,fümfde Johr
fünfundvierzig,fünfeverzich
fünfzehn,fufdse
fünfzig,fufdsich
fünfzig,fufzich
für,fer
für,for
für,forr
für,för
für,für
für,vor
für das,for's
für den,n
für einen,n
für einen Narren halten,fernare
für sich,förschi
für unbrauchbar gehaltenes altes Zeug,Grempl
für was ihn auch noch,vor woas'n aa no nejtroche
fürchterlich,förchderlich
fürchterliche,förchderlichi
Fürst,Förschd
Fürst,Förscht
Fürsten,Förschde
fürstlich,förschdli
fürstlich,förschtli
Fürzchen,Förzli
Fürze,Förds
Fürze,Förz
Füsse Verniedlichungsform,Füssli
Füßchen,Füssli
Füße,Füssli
Füße,Füß
g,g'hääb
Gabel,Gawl
Gabel,Gawwel
gabeln,gawwle
gabelt,gawweld
gaffen,gafe
